name,description,begin_time,end_time,begin_badge,end_badge,image_path,type,tokens,counts_for_day
Where's Wally?,Encontra o cubo do CeSIUM escondido no evento e apresenta um fotografia no balcão do CP2,2024-02-06T09:00:00Z,2024-02-09T17:00:00Z,2023-02-15T09:00:00Z,2024-02-09T17:00:00Z,data/badges/images/wally.svg,2,20,1
SEI Ou Não SEI,Participa ou assiste ao gameshow da SEI,2024-02-06T17:00:00Z,2024-02-06T18:10:00Z,2024-02-06T17:00:00Z,2024-02-06T19:00:00Z,data/badges/images/sei_ou_nao_sei.svg,2,25,1
Coffee Break 1,Participa no Coffee Break,2024-02-06T11:30:00Z,2024-02-06T12:00:00Z,2024-02-06T11:15:00Z,2024-02-06T12:30:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 2,Participa no Coffee Break,2024-02-06T16:00:00Z,2024-02-06T16:30:00Z,2024-02-06T15:45:00Z,2024-02-09T17:00:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 3,Participa no Coffee Break,2024-02-07T11:00:00Z,2024-02-07T11:30:00Z,2024-02-07T10:45:00Z,2024-02-07T12:00:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 4,Participa no Coffee Break,2024-02-07T16:00:00Z,2024-02-07T16:30:00Z,2024-02-07T15:45:00Z,2024-02-07T17:00:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 5,Participa no Coffee Break,2024-02-08T11:00:00Z,2024-02-08T11:30:00Z,2024-02-08T10:45:00Z,2024-02-08T12:00:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 6,Participa no Coffee Break,2024-02-08T16:00:00Z,2024-02-08T16:30:00Z,2024-02-08T15:45:00Z,2024-02-08T17:00:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 7,Participa no Coffee Break,2024-02-09T11:00:00Z,2024-02-09T11:30:00Z,2024-02-09T10:45:00Z,2024-02-09T12:00:00Z,data/badges/images/coffee.svg,0,5,0
Coffee Break 8,Participa no Coffee Break,2024-02-09T16:00:00Z,2024-02-09T16:30:00Z,2024-02-09T15:45:00Z,2024-02-09T17:00:00Z,data/badges/images/coffee.svg,0,5,0
